,Actress_Name,actress_link,Available_photos,Available_videos,Rank,Profile_views,Video_views,Subscribers,Country,Age,Eye,Hair,Height,Weight,Cup,Measurements,Alias,Official_website,Twitter,Instagram,Bio
192,Bunny Colby,https://www.eporner.com/pornstar/bunny-colby/,155,113,194,896503,13242328,169,USA,-,,,,,,,,http://bunnycolby.com,https://twitter.com/bunnycolby,https://www.instagram.com/bunnycolby,
193,Katie Fey,https://www.eporner.com/pornstar/katie-fey/,2200,4,195,66901,79921,4,Ukraine,37,Brown,Black,"168 cm / 5'6""",49 kg / 108 lbs,C,35C-24-34,"Eugenia Diordiychuk,Evgeniya Diordiychuk,Jenya,Jenya D,Jenya D Met Art,Katie,Katie Fay,Shawnee,Vanesa Gojgik,Yevgenia Diordiychuk,Yevgeniya Diordiychuk",,,,"Evgenia Diordiychuk is an eastern European model specialising in soft core pornography and nude and semi-nude photography. She enjoys an extensive internet fan base, mostly under the pseudonym Katie Fey. Originally noted for being ""shy,"" and often doing non-nude, though sexually suggestive and topless posing, she has recently begun revealing her pubic hair (or shaved mons pubis) and, to a limited degree, her labia. Her kaitefey.com website now advertises her as,""Now 100% Fully Nude!,"" likely due to greater competition for page views from more explicit web sites. However, she remains reticent about doing anything ""hardcore,"" choosing to work solo almost exclusively (occasionally posing with another woman in suggestive, but non-sexual sets), refusing traditional pornographic genital or anal close-ups, does not work with men, nor does she perform explicit masturbation (although she does simulate masturbation in several of her video offerings, she doesn't really seem to become aroused doing so; it appears to be more as part of her stripper/tease routine). This may be part of her appeal, making her more of a ""girl next door.""  Evgenia holds a fashion design degree and is a professional modern and flamenco dancer. She says she would, one day, like to become just like a female Hugh Hefner.  Appearances in Playboy Evgenia recently 'Broke Out' of the online world, appearing as cover model and centrefold of the November 2008 issue of Ukranian Playboy and as centrefold (a different photo set) in both the November 2008 issue of Argentinean Playboy and November 2008 issue of Greek Playboy (these latter sets being promoted as ""Evgenia Diordiychuk: naked and in danger"" to cross-promote the, then-new, second Daniel Craig James Bond movie).  As Shawnee It was under the name Shawnee at Teen Stars Magazine online that Evgenia Diordiychuk first appeared. There she first established her non-nude and semi-nude style.The photos are now all years out of date and she has clearly moved on to promoting herself under her real name and under the Katie Fey brand.  As Katie Fey It was under the Katie Fey brand that Evgenia Diordiychuk began to receive significant online notice. Under this brand she has one of the largest fan chat listings at Peachy Forum (1,474 postings) and 62 pages of chat postings at Freeones.com. As Katie Fey, Evgenia Diordiychuk is promoted by Wonton Media LLC, a subsidiary of Pictormedia, an online developer of adult websites located in Spain. A number of other models share the 'Fey' brand, including Felicity Fey, Tabatha Fey and Ana Fey. None of them is related to Katie Fey, they are all just models using the 'Fey' brand through Pictormedia.  ""Katie"" gave an interview to Girl Next Door magazine which provides some personal information and in which she gives her real first name, Evgenia.  At MetArt (as Jenya D.) Evgenia Diordiychuk also appears under the name Jenya D. (Jenya being the short form of Evgenia) in photo sets created for the Met Art website. In these sets, her work is often (slightly) more explicit (though her Katie Fey brand is achieving parity, presumably due to the wider attention her more explicit MetArt sets have garnered) and she often appears with other women (often Met Art model Liza B.) though, again, engaging in nothing more than suggestive touching, never sex (nothing more explicit than a kiss). Met Art is a soft core web site that does not show penetration, men, sexual intercourse, explicit oral sex, or masturbation to orgasm (simulated or not). Jenya D.'s photo sets are often rather less explicit than others appearing on the Met Art site. Jenya D. has appeared in more than 60 photo sets on MetArt, making her one of their most popular models.  As Vanessa Gojgic It appears that Evgenia briefly toyed with the idea of using the name Vanessa Gojgic. She appears under that name on a Czech website called Missionline. However there are only two postings, some 14 minutes apart in December of 2005. There have been no logs since then"
194,Anya Olsen,https://www.eporner.com/pornstar/anya-olsen/,136,331,196,1163428,11164082,107,USA,27,Blue,Blonde,"160 cm / 5'3""", 50 kg / 110 lbs,34B,34-24-34,,,https://twitter.com/anyaolsenXXX,https://instagram.com/anyaolsen,
195,Emma Hix,https://www.eporner.com/pornstar/emma-hix-QRiOU/,277,398,197,1238472,9882748,139,USA,24,Brown,Blonde,"162 cm / 5'4""", 50 kg / 110 lbs,34B,34-24-34,"Crissy Kay,Emma Hicks",,https://twitter.com/EMMAHIXOFFICIAL,https://instagram.com/emmahixofficial,
196,Angel Dark,https://www.eporner.com/pornstar/angel-dark/,841,143,198,385634,7314820,70,Slovakia,40,Brown,Brunette,"175 cm / 5'9""",52 kg / 115 lbs,C,36C-25-36,"Angel,Angel A Met Art,Angelina Bella,Dark Angel,Kristina Sutalo,Viktoria ATK,Viktoria Cullison,Viktoria Karups,Viktoria Knezova",,,,"Dark was born in Bratislava, the capital city of Slovakia, and began her career in the sex industry in 2001. Her filmography consists of nearly 100 movies, including her first film Blow Bang 7. Her films fall into the categories hardcore, gonzo, A2M, lesbian, and anal. She has also posed for numerous websites and online pictorials. According to the Internet Movie Database, Dark chose the name Angel as a stage moniker after giving birth to a baby boy whom she gave up for adoption; the couple who adopted him had called her an angel. She chose the surname Dark in reference to the Goth subculture, of which she is fond. In early 2006, Angel Dark was on hiatus from modeling and acting due to hospitalization and recovery from kidney failure in late 2005. She is represented by Model Mania, a modelling agency that represents mostly European models and actresses. In the latter part of 2006, according to EBI, Angel Dark returned to active status as an erotic model, including doing male - female (HC) work."
197,Blonde Angel,https://www.eporner.com/pornstar/blonde-angel-v42FA/,135,1191,199,474220,16734713,21,Romania,31,Brown,Blonde,,,A,,"Angel Blond,Blond Angel",,,,
198,Bonnie Rotten,https://www.eporner.com/pornstar/bonnie-rotten/,134,132,200,942636,12089252,83,USA,29,Hazel,Brunette,"170 cm / 5'7""",46 kg / 101 lbs,B,32B-24-30,Bonnie,http://fancentro.com/r/bcqwlzge/bonnierotten,https://twitter.com/thebonnierotten,https://instagram.com/officialbonnierotten,"Sometimes, when you're in a funk and you just can't get out of it, you need a black widow-like woman to whip you into shape and we hope that that woman is Bonnie Rotten. At 5ft 7in and 101lbs, this B cup size beauty is well known in the industry for her Domination and fetish films. Before she was in the adult film industry, she started off as a fetish and erotic model. With her long brown hair and hazel eyes, she has no problem getting men to do exactly what she wants for as long as she wants them to. Her measurements are 32B-24-30. During her very first seizure in the industry, she was nominated for over 11 different awards and even won two of them. Some of her videos and films can be found on kink.com she's one of the most searched women in the BDSM and fetish sections."
199,Red Fox,https://www.eporner.com/pornstar/red-fox/,700,17,201,560107,8184011,60,Czech Republic,30,Blue,Red,"173 cm / 5'8""",50 kg / 110 lbs,C,35C-24-35,"Marga E Femjoy,Micca,Micca W4B,Michelle DDF,Michelle H,Michelle H Met Art,Michelle Starr,Michelle Twistys,Michelle YLP,Nalla,Naomi,Noemi,The Red Fox",,,,"There are not many people in this world who can instantly capture a person’s attention, but Red Fox can do it like she was born to be the center of attention. The moment you see her beautiful body come on you will know instantly why she is called Redd Foxx. She has vibrant red hair and matching blue eyes that hold your attention in any scenario. Red Fox is a magnificent and beautiful woman who was born in a small village in Ukraine. Her body is lithe and she's about 5' 8"" and 110 pounds. Although she's from the Ukraine, she's a Caucasian woman who was born on September 5th, 1992. Red Fox is a 32C and her measurements are 35C-24-35. She has been active in the adult film industry since 2011. When she is not performing for the camera, she is usually interacting with fans on her Instagram page, and she has over 40,000 followers."
200,Abigaile Johnson,https://www.eporner.com/pornstar/abigaile-johnson-xr57F/,50,97,202,1303878,9553067,99,Czech Republic,33,Blue,Blonde,"165 cm / 5'5""",50 kg / 110 lbs,B,34B-23-35,"Abagail Johnson,Abagaile Johnson,Abby,Abby X Art,Abigail,Abigail Johnson,Abigail Joymii,Abigaile,Abigaile Fuckedhard18,Abigaile Karups,Abigaile Sapphic,Abigaile Wetandpuffy,Petty,Spunky,Spunky Bee",,,,"If every woman had a body like Abagaile Johnson, the world would truly be a better place. She has long blonde hair and stunning blue eyes which will make any man weak in the knees. Is 5 ft 5 in tall, but she is only 110lbs! She is a thin girl, but don’t write her off. When she gets naked, she plays with her partners until they are weak in the knees. Her body’s measurements are 34B-23-35, so she does have a lot to work with. Born on November 11th, 1989 in the small city of Praha, which is in the Czech Republic, she lived there until she Some of the films she has performed in are: Bachelor Party Orgy, My Sexy Kittens 51, Tight Teens 6, and Sweethearts from Europe. Abigaile performs under several different names, such as Abby, Spunky Bee, and Rose. Abigaile also has a Twitter account and an Instagram."
201,Marsha May,https://www.eporner.com/pornstar/marsha-may/,40,516,203,1076141,11016080,90,USA,27,Hazel,Blonde,"149 cm / 4'11""", 43 kg / 95 lbs,32D,32D-24-32,,,,,
202,Blair Williams,https://www.eporner.com/pornstar/blair-williams/,61,393,204,1331408,8802376,81,USA,26,Blue,Blonde,"177 cm / 5'10""", 66 kg / 146 lbs,36D,36-29-38,,,https://twitter.com/blairsbananas,https://instagram.com/godblessblair,
203,Kitty Jane,https://www.eporner.com/pornstar/kitty-jane/,15,206,205,1020690,12147593,15,Czech Republic,32,Brown,Brown,"0 cm / 0'0""",62 kg / 137 lbs,B,35B-26-37,"Jane K,Jane K Mc-nudes,Janet,Janet Karups,Katy Jay,Kitty,Kitty X Art,Nika,Sweet Isabella",,,,"Kitty Jane has a fabulous name but she also performs under many other different aliases like Lisa, Janet, sweet Isabella, and Mika. Kitty is definitely a tall woman as she is 6 feet tall but that just means her fellow stars can wrap her legs around their shoulders. born on November 1st, 1990 Kitty is a Caucasian woman with honey-colored eyes and brown hair. She's about a hundred thirty-seven pounds and her breasts are B cups. Kitty Jane was not born in the United States like many other pornstars, instead, she was born in the Czech Republic. She has several piercings on her face and her breasts are all-natural."
204,Jillian Janson,https://www.eporner.com/pornstar/jillian-janson/,206,231,206,443478,16388258,94,"Minneapolis, Minnesota, USA",27,,Brown,"170 cm / 5'7""", 63 kg / 139 lbs,,34C-25-32,,,,,
205,Tiffany Tatum,https://www.eporner.com/pornstar/tiffany-tatum/,685,141,207,850706,12649967,156,Hungary,24,Blue,Blonde,"165 cm / 5'5""", 43 kg / 95 lbs,34A,34-23-34,,,,,
206,Brooke Wylde,https://www.eporner.com/pornstar/brooke-wylde/,62,162,208,913454,11745869,79,USA,27,Grey,Brown,"170 cm / 5'7""",57 kg / 125 lbs,DD,36DD-26-37,Brooke Whyte,,,,"Brooke is one of the lucky women who has striking grey eyes. But that is not all that is amazing about Brooke Wylde. Just a quick glance will reveal to any viewer that has enormous and natural DD breasts. She was born on May 31st, 1995 in Tampa Bay, Florida and she grew to be 5' 7"". In the year 2020, that means she's only 25 years old so every part of her body is bouncy and young. Along with grey eyes, she also has long brown hair. The films that she performs in the most are centered around her massive breasts. Her measurements are 36DD-26-37 but she only weighs 125lbs. Working in the adult film industry is a popular career choice in the family because her sister is also a pornstar! Both she and her sister started working in the adult film industry in 2013. But they have never worked together in a scene."
207,Misha Cross,https://www.eporner.com/pornstar/misha-cross/,3,108,209,948495,12681743,53,Poland,33,Blue,Brunette,"168 cm / 5'6""",50 kg / 110 lbs,A,32A-25-36,Mischa Cross,https://onlyfans.com/xmishacrossx,https://twitter.com/xmishacrossx,https://instagram.com/xmishacrossx,"Poland is a wonderful and very country and we just can't wait to travel over there. But wild coronavirus is ravaging the world, we'll just have to settle for watching Misha cross bend her body in every conceivable position imaginable. And we can't think of a better way to pass the time! Misha is a beautiful brunette with big blue eyes and a smile that will keep you coming back for more. She's about 110lbs and she stands at 5 ft 6 in. She's an A cup and her measurements are 32A-25-36. Misha was born on November 27th, 1989 And she started performing in the adult film industry back in 2015. Her performances have gotten her a lot of fans and she is one of the top 500 most searched people on Pornhub. All in all, Misha cross has over 50 million views On all of her videos on Pornhub."
208,Victoria June,https://www.eporner.com/pornstar/victoria-june/,243,120,210,1117860,10329089,123,USA,26,Hazel,Black,"161 cm / 5'3""", 47 kg / 104 lbs,34E,34E-25-34,,,,,
209,Eva Elfie,https://www.eporner.com/pornstar/eva-elfie/,1667,149,211,611458,11658272,257,Russia,22,,,,,,,,,,,
210,Lilly Hall,https://www.eporner.com/pornstar/lilly-hall/,29,600,212,929057,12368946,174,USA,31,Brown,Brown,"163 cm / 5'4""",55 kg / 121 lbs,C,34C,,,,,
211,Alex Grey,https://www.eporner.com/pornstar/alex-grey-3rNd9/,833,158,213,864314,9920358,103,USA,26,Blue,Blonde,"157 cm / 5'2""", 42 kg / 93 lbs,34B,34-22-32,,,https://twitter.com/alexgreyxxx,https://instagram.com/xoalexgrey,
212,Carolina Sweets,https://www.eporner.com/pornstar/carolina-sweets-5ELJJ/,543,404,214,1082559,10584395,156,USA,26,Blue,Brown,"154 cm / 5'1""", 49 kg / 108 lbs,32B,32-24-34,,,https://twitter.com/xCarolinaSweets,https://instagram.com/real.carolina.sweets,
213,Gianna Dior,https://www.eporner.com/pornstar/gianna-dior/,768,201,215,1025012,9418856,164,USA,25,,,,,,,,https://onlyfans.com/gianna_diorxxx,https://twitter.com/Gianna_DiorXXX,https://instagram.com/xoxo_giannadior,
214,Maddy Oreilly,https://www.eporner.com/pornstar/maddy-oreilly/,55,268,216,880594,12957748,41,USA,32,Brown,Red,"170 cm / 5'7""",51 kg / 112 lbs,B,34B-24-35,"Maddie Oâ€™Reilly,Maddy Fuckedhard18,Maddy O'Reilly,Maddy O'Reily,Maddy OReily,Maddy Oriley,Savannah",,,,"Some women just ooze sex and sultyness and Maddy Oreilly is one of them. Seriously, if we were to ever meet her and she will invite us into her bed, we might just cum in our hands instantly right there on the street. She is one of the sexiest women that we have ever laid eyes on and we hope that she continues to perform in many films in the coming years. Maddy was born on May 3rd, 1990 in a small town in North Carolina. and she is a full-blooded Caucasian with brilliant red hair and beautiful Brown eyes. She is 5' 7"" and only 112 pounds. She is a B cup and her measurements are 34B-24-35. After she graduated high school, she spent a few years working as a car saleswoman. She finally entered the industry in 2011 And the very first film that she acted in was titled My Little Panties 3."
215,Christy Charming,https://www.eporner.com/pornstar/christy-charming-DYAgC/,1065,113,217,686225,13855837,21,Czech Republic,29,Brown,Brown,"168 cm / 5'6""",49 kg / 108 lbs,B,30B-24-32,"Kristyna,Misty X Art,Paola de Sousa,Paula,Paula Lee,Paula Pearl,Paula S Joymii,Paula Shy",,,,"Also known as Paula Shy, Christy Charming is a girl who can’t stop taking off her clothes. But that is just fine with us! Chrissy started working in the adult film industry in 2012 when she was only 19, after spending a few months as an adult model. She was born in the Czech Republic on November 13th, 1999 and she has long brown hair and brown eyes. She's 5 foot 6 inches and 108lbs. Christy decided that in order for her to be more comfortable intense and hardcore scenes, she would only perform them with her longtime real-life boyfriend and so her boyfriend joined the adult film industry as well. From 2013 to 2018 she was in 24 adult films. Some of her titles include Pashion Games, Just Between Us, Be My Lover 5, and Burning Desires 2. Her heritage is Caucasian and she has B cup breasts. Her measurements are 30B-24-32."
216,Brianna Beach,https://www.eporner.com/pornstar/brianna-beach/,8,174,218,1049013,11105780,111,United States,46,Green,Blonde,"170 cm / 5'7""",57 kg / 125 lbs,B,38B-26-34,"Briana Beach,Briana Twistys,Brianna,Melissa,Ms Beach",,,,
217,Franceska Jaimes,https://www.eporner.com/pornstar/franceska-jaimes/,81,145,219,972540,10603536,83,Colombia,37,Brown,Brown,"173 cm / 5'8""",57 kg / 125 lbs,D,34D-26-38,"Franceska James,Patricia Jaimes,Sweet Sugar",,,,"Born with one of the best asses in the world(in our opinion), we would spend hours with Franceska’s ass if we could only be in the same room as her. Her measurements are 34D-26-38, so you know how her ass is bouncy and perky. She has a sexy Latina body and her legs are long. Her height is 5ft 8in and she weighs about 125lbs. If someone cannot see the back of her, then they can see her front and her amazing D cups tits. They could cause a blind man to see!. WIth long brown hair and coy brown eyes, Franceska is one of the hottest women in the acting industry. She was born on September 9th, 1985 in Bogota, Colombia, which is also where she grew up. She went into the adult film industry in 2006 and performed several movies with her husband, who was a seasoned adult film performer at the time."
218,Nessa Devil,https://www.eporner.com/pornstar/nessa-devil/,246,74,220,569958,12801288,53,Czech Republic,34,Hazel,Brown,"175 cm / 5'9""",52 kg / 115 lbs,C,34C-24-34,"Katrina X Art,Nesa Devil,Nessa,Nessa A Met Art,Nessa D Sapphic,Nessa W4B,Nikki,Nikola Jiraskova,Selen",,,,"It is a good thing that Nessa has Devil as her last name, because we can't imagine her being a good obedient girl in heaven. Nessa is a porn actress all the way from the Czech Republic and she is mostly known for her many performances in orgy based films. In fact, she was nominated for the AVN award for Best Orgy. Now that is a girl that is dedicated to her craft. She was born on December 9th, 1988 and she has long brown hair which she keeps loose and big hazel eyes. She's about a 115lbs which is quite skinny for a woman who's 5 ft 9 in. But she does have weight where it counts as she has C cup breasts and her measurements are 34C-24-34. After she joined the adult film industry, she received a breast augmentation to turn her B cups into C cups."
219,Katerina Hartlova,https://www.eporner.com/pornstar/katerina-hartlova/,222,80,221,716010,8865242,70,Czech Republic,37,Blue,Blonde,"168 cm / 5'6""",53 kg / 117 lbs,DD,34DD-25-37,"Angel,Katarina ATK,Katarina DDF,Katarina Dubrova,Katarina Hartlova,Katerina,Kathy,Kathy Karups,Kathy Kozy,Katrin Kozy,Kelly Norton,Snow Twistys,Tania Lesko",http://katerina-hartlova.com,https://twitter.com/Katy_Hartlova,https://instagram.com/katerinahartlova2020,"It is not every day that you meet to learn about a hot chick from the Czech Republic who likes to take her clothes from men, so consider this your lucky day. Katerina Hartlova is always a delight to watch, and there’s no way a red-blooded man would ever get tired of her. Born on September 19, 1985, she was blessed with blonde hair and sparkling blue eyes. Her body is tight and sexy and her breasts are DD cups. Standing at 5ft 6in and with measurements like 34DD-25-37, Katerina Hartlova makes every man’s cock get hard. She started performing porn films with her boyfriend, but then moved on to doing other men and women after they broke up. She is protective of her privacy and avoids using her real name as often as possible. She has made over 40 adult films and is very active on Twitter."
220,London Keyes,https://www.eporner.com/pornstar/london-keyes/,30,187,222,673959,14516040,72,United States,33,Brown,Brunette,"163 cm / 5'4""",59 kg / 130 lbs,C,34C-27-36,"Keys,London ATK,London Keith,London Keys",,https://twitter.com/LondonKeyes,https://instagram.com/londonkeyes,"One of the best pieces of clothing in the entire clothing industry is the body con suit and London Keyes really knows how to rock this see-through piece of material. With measurements like hers, 34C-27-36, and natural C cup breasts, London has the body that many women her size dream about. She's about 5 ft 4 in and 130lbs. So she is definitely not a skinny mini, as there's plenty of her to go around! Born as Cora Birdwell, London is actually a half Japanese half Caucasian woman who was born in the state of Washington. She later emigrated to Spain when she was an adult and officially settled here. London was born on August 18th, 1989 and has been working in the adult film industry since 2008, when she turned 19 years old. She had been a stripper since she turned 18. She's best well known for her performances in the interracial and lesbian categories."
221,Susanne Brend,https://www.eporner.com/pornstar/susanne-brend/,131,1182,223,568442,14300492,23,Hungary,38,Brown,Black,"168 cm / 5'6""",54 kg / 119 lbs,C,32C-23-33,"Angel Blond,Angel Blonde,Susan,Susane Brendy,Susanna,Susanne Brenda,Susanne Breno,Suzan,Suzana Blond,Suzanne,Suzanne Brend",,,,"Although she has not worked in the adult film industry in over a decade, there will always be a special place on the internet for Susanne Brand. Most active from 2003 to 2008, she is a Hungarian woman who was born on August 3rd, 1984. In our honest opinion, she's a very daring woman because, not only does she have a navel piercing, she has a clit piercing as well! Susanne definitely has the ability to trade pain in for pleasure. Susanne has long black hair and green eyes and she's about 5 ft 6 in. at 119 lb, she is a C cup and her measurements are 32C-23-33. When she is performing in a film, she enjoys working with a lot of toys like dildos for both the vagina and the anus and she has no problem giving blowjobs or doing double penetration. Since leaving the industry, she has been working as an adult model."
222,Hazel Moore,https://www.eporner.com/pornstar/hazel-moore/,90,74,224,1028165,10821702,293,USA,22,Hazel,Auburn,"170 cm / 5'7""", 55 kg / 121 lbs,34D,34D-27-34,,,https://twitter.com/hazelmoorexxx,https://instagram.com/hazelmooreee,
223,Noelle Easton,https://www.eporner.com/pornstar/noelle-easton/,100,86,225,956071,10089275,81,USA,28,Green,Brown,"163 cm / 5'4""",61 kg / 134 lbs,DDD,38DDD-26-36,"Alexis,Mattison Reid",https://xxxnoelleeaston.com/,https://twitter.com/NoelleEaston,https://www.instagram.com/xonoelleeaston,"The person who said that bigger isn't always better has never been between Noelle Easton’s massive breasts. at 5 foot 4 inches that only 134 pounds, Noel is already a beautiful sight to behold. But when she pulls off that bra and exposes her triple D cup breast to the camera, I can see my screen getting hot. She has very impressive measurements as well as her body is 38DDD-26-36. A natural brunette with shimmering brown eyes, Noelle is ready to play with both the camera and herself. She was born on December 17th, 1994 In Louisiana and she performed in her first adult film in 2013."
224,Cherry Kiss,https://www.eporner.com/pornstar/cherry-kiss/,807,1263,226,848960,12037771,58,Serbia,30,Brown,Blonde,"173 cm / 5'8""",55 kg / 121 lbs,B,34B-24-35,"Charry,Charry Sapphic,Chary,Chary Kiss,Cherry K Joymii,Cherry White,Ivana Slavkovic,Leony X Art,Shirly",,https://twitter.com/IVANACHERRYKISS?s=08,,"Serbia is not a country that many people around the world know about, but once people learn who Cherry Kiss is, they want to study the country in case there are more blonde bombshells hiding within. Cherry has big brown eyes and equally as big B cup breasts. Her body is quite nice, as her measurements are 34B-24-35. She’s definitely on the taller side, as she stands 5 ft 8 in, but she only weighs 121 lb. Not much is known about her life before she started working in the adult film industry, but we know that she was born on December 31st, 1992, and entered into the industry in 2011. She started working in Budapest, Hungary, and was even invited on a game show for fun. Cherry has been nominated for awards in the past, and we are sure that there are more awards to come in her future."
225,Jessica Jaymes,https://www.eporner.com/pornstar/jessica-jaymes/,756,64,227,814733,12089717,36,USA,41,Hazel,Brunette,"170 cm / 5'7""",53 kg / 117 lbs,D,35D-22-33,"Jessica James,JessicaJaymes,Taylor Millen",https://jessicajaymesxxx.com/,https://twitter.com/jessicajaymes,https://instagram.com/theofficialjessicajaymes,"Jessica Jaymes is an American pornographic actress. Born in Anchorage, Alaska, Jaymes and her father moved to Arizona at age 10. She originally aspired to be a fighter pilot, something encouraged by her father, but ended up teaching grades 4 through 6 after graduating from high school. During her teaching stint for three years, she also worked as an exotic dancer at a club across from the local Montessori elementary school. Her entry into pornography began in 2002, when she started dating someone from the adult-oriented Playtime magazine based out of Arizona. Jaymes' was subsequently cast as a lead in Sunshine Films' Sexhibition 9. She did about 40 films before taking a hiatus from films to host Playboy TV's reality Totally Busted. When Jaymes' was 21 years old, she had breast implant surgery, which increased her breast size from 34B to 35D. Jaymes is an avowed bisexual, who has had on-screen sex with women and believes that by doing so, she will prolong her adult film career. She has also commented that ""when that is old, I'm going to dip into having sex with men and start my own production company."" On October 12, 2004, it was widely reported that she and pop singer Nick Lachey had a sexual encounter at a bachelor party for his friend, Sean Sullivan, held at the Hollywood Hills residence of C-Note Records' owner Cody Leibel. Jaymes later claimed to New York Post's Page Six that Lachey watched her in a lesbian sex show with another pornographic performer. After the alleged incident was publicized, her career seemed to escalate with the announcement that she is the first-ever contract model for Hustler and awarded her the ""Hustler Honey of the Year"" award. On November 21, 2005, Salon.com reported that Jaymes and her agent were shopping around the alleged ""real story"" for a price of around one million USD."
226,Amia Miley,https://www.eporner.com/pornstar/amia-miley/,237,107,228,820926,11349404,76,United States,32,Brown,Brunette,"160 cm / 5'3""",48 kg / 106 lbs,B,30B-23-32,"Abbey Nubiles,Amaia Miley,Amaia Moretti,Amea Moretti,Ami Miley,Amia ALS,Amia Fuckedhard18,Amia Moretti,Ileana,Ileana FTV",https://Onlyfans.com/amiamiley,https://twitter.com/amiamiley,https://instagram.com/msfashkilla,"When Amia Miley takes off her clothes, it is like the earth stops spinning. With her B cup breasts and 30B-23-32 body, she is a sexy woman whose films we can’t stop watching. She was born on November 23, 1990, and she is 5ft 3in and weighs only 106lbs. With tanned skin, brown hair, and brown eyes, she looks like a desert goddess who has come to grant us our wish. Amia has such unique and unforgettable looks because she has both Hawaiian and Italian blood. The first adult film she starred in was Backroom Casting Couch 1057: Amia all the way back in 2008 Over her career, she has been nominated for 6 awards. On the right side of her neck, she has Japanese characters that reference a bible verse from Proverbs. Amia was even in a sex scene on the show True Blood, so now she is a real Hollywood star!"
227,Anna Bell Peaks,https://www.eporner.com/pornstar/anna-bell-peaks/,101,929,229,1077041,9724811,128,USA,40,Blue,Red,"167 cm / 5'6""", 54 kg / 119 lbs,32G,32G-25-33,,http://annabellpeaks.xxx/,https://twitter.com/AnnaBellPeaksXX,https://instagram.com/annabellpeaksxx,
228,Blue Angel,https://www.eporner.com/pornstar/blue-angel/,186,138,230,541786,13361839,17,Hungary,34,Blue,Blonde,"170 cm / 5'7""",52 kg / 114 lbs,A,32A-23-35,"Angel,Angel ATK,Angel B Met Art,Angel Blue,Angel Karups,Beatrice Sapphic,Leila X Art,Sissy Blake,Viva Style,Vivian Piaf,Vivien Piaf,Vivien Style,Vivien Toth",,,,"Sometimes, in order to work hard, you must first play hard and watching Blue Angel perform on our screens has never felt like work. Born and raised in Hungary, she has classic blonde hair and baby blue eyes. We know that Blue Angel loves to work hard too, as she has performed in over 500 different films throughout her career. She is 1/8 cup and her measurements are 32A-23-35. Angel likes to keep in shape and she only weighs 114 lb even though she stands at 5ft 7in. Her birthday is June 21st, 1988 and she joined the Adult film industry when she was only 18 years old. Occasionally, when she's not performing, she also enjoys working as an erotic model. During the first and second year of her career, which was in 2009 and 2010 she was nominated for the real awards each year."
229,Samantha Saint,https://www.eporner.com/pornstar/samantha-saint/,304,94,231,766100,10889156,78,United States,35,Green,Blonde,"175 cm / 5'9""",59 kg / 130 lbs,D,34D-24-36,"Samantha,Samantha Allure,Sophia",,https://twitter.com/misssaintxxx,https://instagram.com/samantha_saint,"If you want to spend a lovely afternoon looking at a beautiful woman who looks like she was definitely captain of the cheer team, then you need to look up Samantha Saint. She's a natural blonde Caucasian woman with stunning green eyes. Samantha is quite tall as her height is 5ft 9in. She weighs about 130lbs and has some of the most bouncy D cup breasts we have ever seen. Seriously! The moment she takes off her clothes, you will want to quit your job so that you can just keep staring at her day after day. She is a very blessed body as her measurements are 34D-24-36. In October 2012, Samantha Saint was Penthouse's pet of the month, which was less than a year after she started making adult films. When she's working, she would much rather wear condoms and signed on with an adult film studio just because of their Pro condom policies."
230,Lela Star,https://www.eporner.com/pornstar/lela-star/,89,139,232,996553,8903493,95,United States,37,Brown,Brunette,"155 cm / 5'1""",48 kg / 105 lbs,C,34C-25-32,"Anais Inteh,Danielle Nicole Alonso,Layla,Leila Star,Lela ATK,Lela Starr,Lela W4B,Starr",https://snaplela.com/,https://twitter.com/lelastartm,https://instagram.com/lelastartm,"Lela Star (also spelled Starr) (born in Cape Coral, Florida, on June 13, 1985) is a pornographic actress who has starred in over 36 films. She started her career with the Miami, Florida based amateur adult production company BangBros Network and moved to Los Angeles in 2006. Lela is currently a contract girl for ClubJenna.  Lela Star is tight little package with a beautiful round ass. Her appetite for sex is huge, she simply loves cock. Being a smalll girl she loves when bigger guys completely destroy her in bed. Make sure to check her out on hotchicksbigasses.com cause she has got a great big ass."
231,Kiara Lord,https://www.eporner.com/pornstar/kiara-lord-i2tGi/,74,67,233,809275,12565192,60,Hungary,30,Blue,Blonde,"155 cm / 5'1""",50 kg / 110 lbs,A,32A-25-36,"Carrie Karups,Kiara L Nutabu",,,,"Kiara Lord’s body and attitude are mesmerizing and erotic and we are sure that no man can resist her looks or charm. She has silky soft hair and her eyes are a deep ocean blue. At 110lbs and with A-cup breasts, she is a tiny woman but her body can be enjoyed in many ways. She is 5ft 1in and her measurements are 32A-25-36. But when she opens her mouth and licks her lips, our brains stop working. She was born on February 4th, 1992 in Hungary, she has been in the adult film industry since 2013. Ever since Kiara discovered porn, she wanted to work in the industry and did so the first chance she got. The first adult film she performed in was Kiara’s Sofa. If you watch her closely during any of her films, you will be able to see her many body piercings, especially the one on her clit."
